-183.117, 73.875, 2.121,  4.075
-183.111, 73.804, 2.131,  4.108
-183.106, 73.733, 2.141,  4.141
-183.100, 73.662, 2.149,  4.174
-183.095, 73.590, 2.155,  4.207
-183.089, 73.518, 2.159,  4.240
-183.084, 73.447, 2.163,  4.273
-183.078, 73.375, 2.170,  4.306
-183.072, 73.302, 2.180,  4.339
-183.066, 73.229, 2.191,  4.372
-183.060, 73.156, 2.202,  4.405
-183.055, 73.083, 2.210,  4.438
-183.049, 73.009, 2.214,  4.471
-183.043, 72.936, 2.217,  4.504
-183.037, 72.862, 2.221,  4.537
-183.032, 72.788, 2.229,  4.570
-183.027, 72.714, 2.241,  4.603
-183.021, 72.639, 2.255,  4.636
-183.015, 72.563, 2.267,  4.669
-183.010, 72.488, 2.273,  4.702
-183.004, 72.412, 2.273,  4.735
-182.998, 72.337, 2.274,  4.768
-182.993, 72.261, 2.279,  4.801
-182.987, 72.185, 2.291,  4.834
-182.981, 72.108, 2.308,  4.867
-182.975, 72.031, 2.324,  4.900
-182.969, 71.954, 2.332,  4.933
-182.964, 71.876, 2.332,  4.966
-182.958, 71.799, 2.327,  4.999
-182.953, 71.722, 2.328,  5.032
-182.947, 71.644, 2.340,  5.065
-182.942, 71.565, 2.362,  5.098
-182.936, 71.486, 2.384,  5.131
-182.931, 71.407, 2.396,  5.164
-182.925, 71.327, 2.392,  5.197
-182.919, 71.248, 2.381,  5.230
-182.914, 71.169, 2.373,  5.263
-182.908, 71.090, 2.382,  5.296
-182.902, 71.010, 2.411,  5.329
-182.896, 70.929, 2.451,  5.362
-182.890, 70.846, 2.479,  5.395
-182.885, 70.764, 2.477,  5.428
-182.879, 70.682, 2.448,  5.461
-182.874, 70.602, 2.407,  5.494
-182.869, 70.523, 2.372,  5.527
-182.863, 70.445, 2.355,  5.560
-182.858, 70.367, 2.368,  5.593
-182.853, 70.287, 2.414,  5.626
-182.847, 70.204, 2.491,  5.659
-182.841, 70.118, 2.585,  5.692
-182.835, 70.030, 2.668,  5.725
-182.829, 69.939, 2.717,  5.758
-182.823, 69.848, 2.729,  5.791
-182.817, 69.758, 2.713,  5.824
-182.811, 69.669, 2.680,  5.857
-182.806, 69.581, 2.633,  5.890
-182.800, 69.495, 2.576,  5.923
-182.795, 69.412, 2.499,  5.956
-182.790, 69.331, 2.436,  5.989
-182.784, 69.252, 2.398,  6.022
-182.779, 69.173, 2.394,  6.055
-182.774, 69.092, 2.428,  6.088
-182.769, 69.009, 2.497,  6.121
-182.763, 68.923, 2.590,  6.154
-182.757, 68.834, 2.697,  6.187
-182.751, 68.741, 2.805,  6.220
-182.746, 68.644, 2.893,  6.253
-182.740, 68.546, 2.939,  6.286
-182.734, 68.448, 2.947,  6.319
-182.728, 68.350, 2.927,  6.352
-182.722, 68.254, 2.889,  6.385
-182.716, 68.160, 2.837,  6.418
-182.710, 68.068, 2.775,  6.451
-182.705, 67.978, 2.706,  6.484
-182.699, 67.891, 2.617,  6.517
-182.694, 67.806, 2.545,  6.550
-182.689, 67.724, 2.499,  6.583
-182.684, 67.641, 2.487,  6.616
-182.680, 67.558, 2.515,  6.649
-182.675, 67.472, 2.580,  6.682
-182.670, 67.383, 2.670,  6.715
-182.664, 67.291, 2.778,  6.748
-182.659, 67.195, 2.893,  6.781
-182.653, 67.095, 2.995,  6.814
-182.647, 66.993, 3.059,  6.847
-182.641, 66.890, 3.080,  6.880
-182.634, 66.788, 3.070,  6.913
-182.628, 66.687, 3.037,  6.946
-182.622, 66.587, 2.988,  6.979
-182.617, 66.490, 2.927,  7.012
-182.611, 66.395, 2.857,  7.045
-182.605, 66.303, 2.769,  7.078
-182.600, 66.214, 2.696,  7.111
-182.595, 66.126, 2.647,  7.144
-182.589, 66.038, 2.633,  7.177
-182.584, 65.950, 2.658,  7.210
-182.579, 65.860, 2.719,  7.243
-182.573, 65.767, 2.806,  7.276
-182.568, 65.670, 2.912,  7.309
-182.562, 65.569, 3.031,  7.342
-182.556, 65.464, 3.155,  7.375
-182.550, 65.356, 3.264,  7.408
-182.544, 65.244, 3.336,  7.441
-182.538, 65.132, 3.363,  7.474
-182.532, 65.021, 3.354,  7.507
-182.525, 64.910, 3.320,  7.540
-182.519, 64.801, 3.268,  7.573
